owner_id,full_name,passport,share
112,Коновалова Лариса Оскаровна,2891 212235,1/2
113,Панфилова Валерия Натановна,5462 395442,1/2
114,Евдокия Ждановна Соловьева,6617 313487,1/3
115,Смирнова Регина Тарасовна,9280 612262,1/3
116,Субботина Евпраксия Михайловна,1832 196781,1/4
117,Максимильян Жанович Нестеров,5533 146228,1/1
118,Клавдия Сергеевна Никифорова,6464 908577,1/2
119,Большакова Милица Кирилловна,5291 269430,1/4
120,Григорьева Наина Мироновна,8007 688153,1/1
121,Лихачева Дарья Юрьевна,2832 178898,1/2
122,Маслова Таисия Александровна,9938 137778,1/3
123,Епифан Феликсович Устинов,3426 550664,1/2
124,Лапина Лидия Рубеновна,1685 423232,1/3
125,Ермил Яковлевич Мухин,1653 475190,1/2
126,Глафира Артемовна Боброва,5088 799330,1/1
127,Калашникова Юлия Леоновна,6794 918011,1/4
128,Селиверстов Измаил Ефстафьевич,3532 348237,1/2
129,Лазарев Гедеон Адрианович,3900 532322,1/1
130,Мухин Юлиан Артёмович,3938 872343,1/3
131,Фирс Георгиевич Терентьев,7745 941204,1/2
132,Горшкова Милица Ефимовна,5371 266931,1/1
133,Пахомов Аверкий Борисович,7267 140605,1/4
134,Елена Вячеславовна Брагина,4644 309267,1/4
135,Регина Рубеновна Васильева,6728 420015,1/2
136,Фомичева Варвара Робертовна,4652 124813,1/2
137,Суворов Тарас Жоресович,7528 444207,1/3
138,Нинель Юрьевна Авдеева,2137 910891,1/3
139,Селезнева Наталья Тимуровна,6753 772642,1/4
140,Гордей Харламович Савельев,9785 447235,1/1
141,Иосиф Елизарович Комиссаров,2889 373903,1/2
142,Пелагея Егоровна Егорова,5349 140115,1/1
143,Конон Данилович Дорофеев,8119 462479,1/3
144,Тимур Артурович Кудрявцев,8149 735656,1/1
145,Блинов Герасим Гордеевич,7311 704596,1/2
146,Исаков Максимильян Фролович,5173 146542,1/4
147,Елисей Федосеевич Колесников,1027 645175,1/2
148,Фаина Архиповна Гордеева,6967 552248,1/1
149,Ульяна Мироновна Архипова,6409 753425,1/3
150,Казаков Лаврентий Терентьевич,3041 854717,1/3
151,Наина Тарасовна Дементьева,9308 424308,1/4
152,Лаврентьева Элеонора Дмитриевна,6344 521947,1/3
153,Ким Феодосьевич Мартынов,3085 301158,1/4
154,Ширяев Онуфрий Владленович,7211 810219,1/2
155,Василиса Яковлевна Лукина,5930 525800,1/1
156,Карпов Христофор Адрианович,5978 400850,1/2
157,Котов Всемил Фомич,8043 923927,1/3
158,Осипов Натан Зиновьевич,8618 563246,1/4
159,Большаков Мартын Тарасович,4501 636004,1/4
160,Пантелеймон Димитриевич Щукин,3780 790855,1/1
161,Соколов Тимур Антипович,5649 640490,1/3
162,тов. Цветкова Ангелина Аскольдовна,2530 958179,1/2
163,Зинаида Геннадьевна Дьячкова,6085 335552,1/2
164,Степанов Изяслав Валерьянович,3414 125611,1/1
165,Викентий Григорьевич Абрамов,5011 598216,1/1
166,Комиссарова Маргарита Викторовна,8461 534572,1/2
167,Силина Валерия Валериевна,7291 618392,1/4
168,Валентина Харитоновна Козлова,4997 254739,1/1
169,Ульяна Мироновна Афанасьева,2746 916232,1/4
170,Евпраксия Анатольевна Капустина,4585 284430,1/4
171,Исаева Зинаида Борисовна,1822 684482,1/2
172,Антонова Фёкла Васильевна,2988 578634,1/2
173,Татьяна Аскольдовна Коновалова,8612 800005,1/3
174,Нестерова Маргарита Афанасьевна,8251 742412,1/4
175,Александрова Агафья Николаевна,9976 567574,1/2
176,Валентина Оскаровна Кондратьева,8777 571932,1/3
177,Родион Витальевич Кудряшов,5050 980660,1/3
178,Галкин Касьян Харлампьевич,9540 608136,1/2
179,Христофор Евстигнеевич Марков,5499 561239,1/1
180,Анна Игоревна Бобылева,5681 345884,1/3
181,Ростислав Тарасович Ширяев,6502 435239,1/1
182,Якушев Любосмысл Гавриилович,3267 258157,1/2
183,Мина Дорофеевич Александров,7275 827659,1/2
184,Эдуард Елизарович Наумов,4505 167348,1/4
185,Блохин Евграф Архипович,7678 446954,1/4
186,Исаков Селиван Демидович,7812 165290,1/2
187,Юдина Пелагея Петровна,7883 508396,1/1
188,Анна Кирилловна Полякова,7232 600149,1/1
189,Илья Ефремович Нестеров,6763 413118,1/4
190,Мухина Таисия Станиславовна,7865 664365,1/2
191,Ульян Игнатович Казаков,8999 330080,1/3
192,Дорофеева Ксения Ждановна,8140 609232,1/1
193,Молчанов Евдоким Жанович,7371 452457,1/4
194,Беляков Доброслав Георгиевич,3704 981334,1/4
195,Трофимов Кирилл Еремеевич,3091 752483,1/1
196,Евдокия Кирилловна Данилова,7455 720644,1/1
197,Ладислав Авдеевич Рогов,2375 773971,1/4
198,Егорова Алина Альбертовна,3223 584125,1/2
199,Игнатова Василиса Рудольфовна,1823 372793,1/4
200,Попов Филипп Еремеевич,6363 321941,1/4
201,Потап Измаилович Герасимов,6355 453894,1/4
202,Зоя Романовна Андреева,5558 888539,1/4
203,Милица Рудольфовна Богданова,5133 975467,1/1
204,Зимина Алла Владиславовна,8705 120324,1/1
205,Воронцов Лазарь Архипович,6733 335113,1/1
206,г-жа Наумова Наина Юльевна,1659 890870,1/1
207,Орехова Елена Семеновна,5051 309044,1/1
208,Пров Ефимович Самойлов,3496 350132,1/2
209,Котова Ксения Феликсовна,8758 801978,1/1
210,Костина Антонина Григорьевна,4571 587623,1/3
211,Белоусова Анжелика Валериевна,7043 275939,1/1
212,Жданов Афиноген Владиленович,3683 426147,1/1
213,Савельев Чеслав Харитонович,1420 427110,1/4
214,Игнатий Ермилович Крюков,7498 849747,1/2
215,Радован Артёмович Зимин,2245 720859,1/2
216,Белоусов Ярослав Герасимович,2669 831059,1/3
217,Тихон Давидович Юдин,2983 934904,1/1
218,Федотов Вячеслав Артёмович,6688 658623,1/4
219,Вишняков Леон Ермилович,7071 172306,1/3
220,Руслан Ефимьевич Филатов,1207 990844,1/4
221,Ким Юлианович Потапов,9031 210665,1/4
222,г-н Моисеев Андрон Феликсович,6934 766459,1/4
223,Елисеева Зоя Алексеевна,3506 556641,1/2
224,Силин Фирс Адамович,9548 782054,1/3
225,тов. Игнатьева Алина Вячеславовна,9817 912270,1/4
226,Пров Елисеевич Королев,8616 556732,1/3
227,тов. Калашникова Пелагея Богдановна,6280 993085,1/2
228,Осип Игнатьевич Марков,2419 392477,1/4
229,Гордеева Галина Леоновна,4995 886931,1/4
230,Серафим Ермилович Нестеров,7209 452737,1/1
231,Таисия Антоновна Панова,9098 992288,1/3
232,Максимов Любомир Валентинович,3979 611233,1/2
233,Милица Степановна Шарапова,6813 936587,1/3
234,София Рубеновна Тихонова,6576 393243,1/3
235,Михеев Митофан Эдуардович,1166 641722,1/2
236,Мишина Алла Григорьевна,2402 353080,1/4
237,Влас Ермилович Быков,9004 682144,1/2
238,Пелагея Васильевна Новикова,8800 777278,1/4
239,Элеонора Егоровна Рогова,8342 931450,1/1
240,Жданов Агафон Устинович,2524 408528,1/2
241,Одинцов Викентий Фомич,7625 825391,1/2
242,Виктория Святославовна Тетерина,6016 796212,1/3
243,Панфилова Ираида Николаевна,8753 680358,1/3
244,Олимпиада Ефимовна Панова,7971 882169,1/3
245,Блинова Евдокия Эльдаровна,6764 836996,1/4
246,Бобылева Вера Афанасьевна,5438 421517,1/3
247,Павел Измаилович Колобов,4777 226516,1/2
248,Ираида Александровна Боброва,6169 225362,1/2
249,Дьячкова Феврония Харитоновна,4138 326895,1/4
250,тов. Князева Виктория Петровна,5530 859782,1/3
251,Коновалова Лора Тимуровна,2647 973074,1/2
252,Марина Робертовна Тетерина,5853 338533,1/3
253,Евгений Демидович Дроздов,3939 416950,1/1
254,Остап Андреевич Филиппов,9751 232731,1/3
255,Крюкова Марина Натановна,1745 157174,1/3
256,Виктория Святославовна Силина,3068 768854,1/4
257,Овчинников Харлампий Игнатович,2680 112861,1/3
258,Нинель Болеславовна Назарова,8690 601968,1/4
259,Агафья Вениаминовна Исакова,6582 293319,1/1
260,Виктория Анатольевна Воронова,5136 600935,1/1
261,Иванна Львовна Ефремова,2070 520172,1/4
262,Кулагина Анжелика Леоновна,2213 705050,1/1
263,Синклитикия Мироновна Пестова,3485 256445,1/3
264,Севастьян Алексеевич Орехов,2395 360247,1/1
265,Евдокимов Константин Давыдович,7818 735770,1/2
266,Нина Болеславовна Мишина,9561 498855,1/4
267,Уварова Антонина Павловна,8253 411797,1/4
268,Петухов Алексей Андреевич,6003 696251,1/1
269,Аполлон Ерофеевич Ефимов,2625 899787,1/2
270,Галактион Демьянович Лобанов,4457 377501,1/1
271,Дмитрий Власович Захаров,3573 351516,1/2
272,Беспалов Наум Демидович,2229 264136,1/1
273,г-н Жуков Роман Дмитриевич,7693 572387,1/4
274,Авксентий Фролович Мясников,5771 134225,1/2
275,Трифон Владиленович Богданов,5720 841296,1/3
276,Мечислав Ефимович Кабанов,8438 174637,1/2
277,Зоя Робертовна Сазонова,5334 926097,1/2
278,Нестор Харлампьевич Киселев,7965 220351,1/2
279,Дроздов Мирон Ерофеевич,3441 378535,1/2
280,тов. Лебедева Марфа Игоревна,2169 162535,1/2
281,Князев Антип Эдуардович,6039 723948,1/3
282,Ия Евгеньевна Кошелева,8195 230394,1/4
283,Елена Георгиевна Орехова,5982 833723,1/4
284,Всеслав Богданович Лихачев,5460 624783,1/4
285,Волкова Ксения Павловна,8172 184349,1/1
286,Громов Влас Бенедиктович,8078 870214,1/3
287,Лидия Николаевна Захарова,5102 127121,1/1
288,Устинов Тимур Иосифович,4750 807053,1/1
289,Сысоева Ираида Викторовна,5415 704238,1/1
290,Светозар Ерофеевич Дементьев,3870 593355,1/4
291,Валерия Рубеновна Силина,5557 290305,1/4
292,Симонов Зиновий Тихонович,9056 195674,1/4
293,Тамара Михайловна Тарасова,6700 528184,1/3
294,Агафья Захаровна Белякова,6260 802685,1/1
295,Фомин Каллистрат Тарасович,3634 445824,1/4
296,Маргарита Борисовна Муравьева,9117 402218,1/4
297,Козлов Якуб Зиновьевич,1601 576919,1/1
298,Елена Афанасьевна Калашникова,6153 364659,1/3
299,Клавдия Наумовна Андреева,2899 910075,1/4
300,Блохин Андрей Ефимьевич,9431 964998,1/1
